curricula,problem_set_name,question_id,academic_year,number_of_students,incorrect_count,percent_correct,correct_answer,first_common_wrong_answer,second_common_wrong_answer,third_common_wrong_answer,first_common_wrong_answer_count,second_common_wrong_answer_count,third_common_wrong_answer_count
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 15 (7.RP.3),1062995,17_18,262,128.0,51.52,5/8,"""1.6""","""1 3/5""","""2""",37.0,13.0,10.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 15 (7.RP.3),1062995,18_19,190,69.0,64.21,5/8,"""1.6""","""1/2""","""2""",25.0,8.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 15 (7.RP.3),1220850,15_16,71,22.0,70.42,8,"""3.125""","""125""","""3""",6.0,3.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 15 (7.RP.3),1220850,16_17,68,31.0,55.88,8,"""3.125""","""8.04672""","""10""",6.0,4.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 15 (7.RP.3),1220850,17_18,270,90.0,67.03,8,"""3 1/8""","""3.125""","""3""",19.0,11.0,7.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 15 (7.RP.3),1220850,18_19,181,65.0,64.64,8,"""3.125""","""125""","""3""",18.0,6.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 15 (7.RP.3),1220850,19_20,54,17.0,70.37,8,"""125""","""200""","""25/8""",6.0,1.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 15 (7.RP.3),1062999,15_16,70,39.0,45.71,1/3,"""3""","""4""","""1 1/3""",13.0,5.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 15 (7.RP.3),1062999,16_17,70,45.0,37.14,1/3,"""3""","""4""","""1 1/3""",8.0,7.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 15 (7.RP.3),1062999,17_18,262,123.0,53.43,1/3,"""3""","""1 1/3""","""4""",31.0,15.0,13.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 15 (7.RP.3),1062999,18_19,179,77.0,57.54,1/3,"""3""","""4""","""2""",27.0,6.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 15 (7.RP.3),1062999,19_20,52,21.0,61.53,1/3,"""3""","""1 1/3""","""4""",7.0,2.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 15 (7.RP.3),1220864,16_17,70,23.0,68.57,24,"""2 2/3""","""16""","""8""",13.0,3.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 15 (7.RP.3),1220864,17_18,271,91.0,66.78,24,"""2 2/3""","""16""","""2.6""",25.0,16.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 15 (7.RP.3),1220864,18_19,174,55.0,68.96,24,"""2 2/3""","""16""","""2""",16.0,13.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 15 (7.RP.3),1220864,19_20,55,21.0,63.63,24,"""16""","""2 2/3""","""2 1/2""",7.0,5.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 15 (7.RP.3),1062992,17_18,282,156.0,45.03,6 2/3,"""10""","""4""","""8""",14.0,10.0,9.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 15 (7.RP.3),1062992,18_19,215,110.0,49.3,6 2/3,"""9""","""10""","""5""",6.0,6.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 15 (7.RP.3),1062992,19_20,99,53.0,47.47,6 2/3,"""10""","""6 1/2""","""9""",7.0,4.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063028,15_16,76,53.0,31.57,"1/18 , 2/3","""2/3""","""18""","""12""",15.0,4.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063028,17_18,333,180.0,46.24,"1/18 , 2/3","""1.5""","""1/18""","""1 1/2""",28.0,21.0,13.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063028,18_19,297,129.0,56.9,"1/18 , 2/3","""2/3""","""18""","""1.5""",29.0,18.0,9.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063028,19_20,83,60.0,28.91,"1/18 , 2/3","""1.5""","""18""","""5/3""",11.0,10.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063029,15_16,73,37.0,50.68,5/3,"""2""","""3/5""","""1/5""",9.0,5.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063029,16_17,70,46.0,35.71,5/3,"""2""","""3/5""",""".6""",11.0,7.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063029,17_18,384,192.0,50.26,5/3,"""2""","""3/5""",""".6""",38.0,31.0,16.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063029,18_19,318,122.0,61.94,5/3,"""3/5""","""2""","""0.6""",19.0,17.0,8.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063029,19_20,88,47.0,47.72,5/3,"""3/5""",""".6""","""0.6""",8.0,5.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063030,15_16,74,45.0,40.54,1/2,"""1/4""","""24/6""","""4""",10.0,8.0,7.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063030,16_17,71,42.0,42.25,1/2,"""24/6""","""1/4""","""2""",8.0,7.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063030,17_18,307,167.0,45.92,1/2,"""4""","""1/4""","""24/6""",38.0,34.0,22.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063030,18_19,366,181.0,50.81,1/2,"""4""","""1/4""","""6/24""",44.0,41.0,23.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063030,19_20,91,61.0,34.06,1/2,"""4""","""1/4""","""24/6""",17.0,15.0,6.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063031,15_16,72,26.0,65.27,3,"""1""","""1/3""","""2.5""",7.0,3.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063031,16_17,71,22.0,70.42,3,"""1/3""","""4""","""1""",6.0,4.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063031,17_18,394,103.0,74.11,3,"""1/3""","""1""","""4""",22.0,18.0,16.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063031,18_19,293,51.0,82.93,3,"""1/3""","""2""","""1""",13.0,9.0,6.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1222031,15_16,73,54.0,27.39,3,"""3/4""","""3/5""","""4""",12.0,9.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1222031,16_17,70,42.0,41.42,3,"""3/4""","""4""","""1/4""",15.0,6.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1222031,17_18,394,160.0,59.64,3,"""3/4""","""4""","""5 1/3""",23.0,18.0,15.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1222031,18_19,282,85.0,70.21,3,"""3/4""","""4""","""3/16""",27.0,8.0,7.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1222031,19_20,82,28.0,67.07,3,"""3/4""","""2""","""5 1/3""",6.0,3.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063027,15_16,83,66.0,21.68,"1/1400000 , 1400000","""14""","""1/14""","""6""",37.0,6.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063027,16_17,71,47.0,35.21,"1/1400000 , 1400000","""14""","""1/14""","""4""",28.0,2.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063027,17_18,222,160.0,28.37,"1/1400000 , 1400000","""14""","""1/14""","""1,400,000""",87.0,12.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063027,18_19,305,154.0,49.83,"1/1400000 , 1400000","""14""","""1,400,000""","""1400000""",76.0,17.0,11.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 17 (7.RP.2.b, 7.G.1)",1063027,19_20,101,66.0,35.64,"1/1400000 , 1400000","""14""","""1400000""","""5600000""",35.0,4.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 18 (7.RP.2.b, 7.G.1)",1063289,17_18,207,88.0,57.97,9,"""2 1/4""","""6""","""5""",8.0,5.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 18 (7.RP.2.b, 7.G.1)",1063289,18_19,207,67.0,68.11,9,"""2 1/4""","""2.25""","""18""",10.0,6.0,6.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 18 (7.RP.2.b, 7.G.1)",1390697,16_17,64,51.0,21.87,18,"""4.5""","""9""","""20""",6.0,5.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 18 (7.RP.2.b, 7.G.1)",1390697,17_18,223,133.0,40.8,18,"""4.5""","""9""","""16""",12.0,12.0,8.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 18 (7.RP.2.b, 7.G.1)",1390697,18_19,226,101.0,55.75,18,"""4 1/2""","""4.5""","""16""",21.0,9.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 18 (7.RP.2.b, 7.G.1)",1063275,16_17,68,25.0,64.7,4/3,"""3""","""3/4""","""6""",7.0,2.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 18 (7.RP.2.b, 7.G.1)",1063275,17_18,427,166.0,61.35,4/3,"""2/3""","""3""","""6""",29.0,18.0,16.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 18 (7.RP.2.b, 7.G.1)",1063275,18_19,287,106.0,63.41,4/3,"""2/3""","""1""","""3""",12.0,9.0,9.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 18 (7.RP.2.b, 7.G.1)",1063275,19_20,56,27.0,53.57,4/3,"""1 1/2""","""1""","""1/6""",7.0,3.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 18 (7.RP.2.b, 7.G.1)",1063284,15_16,52,23.0,57.69,3.5,"""12""","""3 1/4""","""1""",7.0,2.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 18 (7.RP.2.b, 7.G.1)",1063284,16_17,67,31.0,55.22,3.5,"""14""","""56""","""4""",8.0,4.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 18 (7.RP.2.b, 7.G.1)",1063284,17_18,356,147.0,58.98,3.5,"""14""","""12""","""56""",34.0,20.0,18.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 18 (7.RP.2.b, 7.G.1)",1063284,18_19,213,82.0,61.97,3.5,"""14""","""12""","""56""",19.0,12.0,11.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 18 (7.RP.2.b, 7.G.1)",1063285,17_18,352,80.0,77.55,12,"""3.5""","""5""","""7""",7.0,7.0,7.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---7.1 Lesson 18 (7.RP.2.b, 7.G.1)",1063285,18_19,209,36.0,83.25,12,"""14""","""48""","""1""",6.0,5.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 19 (7.G.1),1063311,15_16,57,33.0,43.85,1/3,"""9""","""32""","""6""",7.0,4.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 19 (7.G.1),1063311,17_18,213,127.0,40.84,1/3,"""9""","""4.8""","""28""",13.0,11.0,10.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 19 (7.G.1),1063311,18_19,262,144.0,45.41,1/3,"""9""","""32""","""3""",28.0,15.0,9.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 19 (7.G.1),1063311,19_20,54,24.0,57.4,1/3,"""32""","""9""","""2""",6.0,6.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 19 (7.G.1),1063313,17_18,176,120.0,32.38,"375 3/16 , 375.2","""17 1/4""","""36""","""2 155/256""",10.0,9.0,7.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 19 (7.G.1),1063313,18_19,148,92.0,38.51,"375 3/16 , 375.2","""17 1/4""","""375""","""1/4""",9.0,3.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 19 (7.G.1),1063315,17_18,185,66.0,64.86,2940,"""420""","""60""","""112""",12.0,5.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 19 (7.G.1),1063315,18_19,128,39.0,70.31,2940,"""420""","""7""","""780""",6.0,3.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 21 (7.G.1),1222988,18_19,67,39.0,43.28,82166,"""82166.2""","""82,166.2""","""264.2""",9.0,3.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 21 (7.G.1),1222988,19_20,58,39.0,34.48,82166,"""82,166.2""","""82166.2""","""82.166""",21.0,5.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 3 (7.RP.2.a),1213067,16_17,214,71.0,67.28,7,"""57.14""","""11.20""","""5""",7.0,4.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 3 (7.RP.2.a),1213067,17_18,473,141.0,70.4,7,"""57.14""","""6.30""",""".35""",11.0,5.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 3 (7.RP.2.a),1213067,18_19,716,237.0,67.03,7,"""57.14""","""6.00""","""8.40""",9.0,8.0,6.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 4 (7.RP.2.a),1057696,15_16,98,41.0,59.18,125,"""115""","""5""","""240""",15.0,7.0,6.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 4 (7.RP.2.a),1057696,16_17,148,63.0,58.1,125,"""115""","""5""","""120""",15.0,14.0,8.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 4 (7.RP.2.a),1057696,17_18,233,72.0,69.52,125,"""115""","""5""","""120""",15.0,15.0,11.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 4 (7.RP.2.a),1057696,18_19,356,94.0,73.87,125,"""115""","""120""","""5""",32.0,18.0,17.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 4 (7.RP.2.a),1057696,19_20,260,87.0,66.92,125,"""115""","""240""","""120""",39.0,13.0,13.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423360,18_19,569,107.0,81.37,14.75,"""1475""","""42.37""","""0.0236""",7.0,5.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423360,19_20,524,84.0,84.16,14.75,"""42.37""","""25""","""1475""",7.0,6.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423361,16_17,46,10.0,80.43,6,"""18""","""0.67""","""1""",6.0,1.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423361,17_18,233,60.0,74.67,6,"""18""","""54""","""1/6""",25.0,8.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423361,18_19,560,159.0,71.78,6,"""18""","""54""","""3""",65.0,17.0,13.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423361,19_20,525,110.0,79.23,6,"""18""","""54""","""3""",45.0,18.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423362,17_18,465,72.0,84.73,66,"""198""","""33""","""63""",16.0,7.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423362,18_19,803,158.0,80.44,66,"""198""","""6""","""33""",37.0,10.0,10.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423362,19_20,853,127.0,85.22,66,"""198""","""33""","""6""",30.0,16.0,10.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423363,16_17,44,21.0,54.54,2,"""5""","""15""","""10""",10.0,3.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423363,17_18,226,67.0,70.79,2,"""5""","""15""","""10""",25.0,8.0,7.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423363,18_19,513,208.0,59.64,2,"""5""","""15""","""10""",80.0,31.0,28.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423363,19_20,491,178.0,63.95,2,"""5""","""15""","""10""",64.0,37.0,26.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423366,17_18,462,123.0,73.59,300,"""1500""","""30""","""75""",23.0,16.0,10.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423366,18_19,767,223.0,71.05,300,"""75""","""1500""","""30""",39.0,39.0,38.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423366,19_20,782,204.0,74.04,300,"""1500""","""75""","""30""",40.0,38.0,32.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423371,18_19,514,102.0,80.35,1800,"""8""","""1500""","""2250""",15.0,4.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423371,19_20,485,81.0,83.5,1800,"""8""","""120""","""15""",21.0,5.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423372,18_19,511,81.0,84.34,95,"""100""","""21375""","""94""",10.0,9.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423372,19_20,485,50.0,89.89,95,"""21375""","""15""","""21,375""",9.0,4.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423359,16_17,46,15.0,69.56,0.59,"""1""","""59""","""1/.59""",6.0,4.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423359,17_18,217,33.0,85.25,0.59,"""59""","""18""","""41""",16.0,2.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423359,18_19,557,147.0,73.78,0.59,"""59""","""1""","""9""",39.0,14.0,7.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 7 (7.RP.2.c),1423359,19_20,459,85.0,81.69,0.59,"""59""","""1""","""14.75""",29.0,8.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1060414,17_18,155,44.0,72.25,8s,"""9.5s""","""9.5S""",""".125s""",7.0,4.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1060414,18_19,292,102.0,65.41,8s,"""9.5s""","""s9.5""","""9.5S""",18.0,6.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1392154,16_17,59,53.0,11.86,25,"""8""","""9.50""","""9.5""",12.0,9.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1392154,17_18,162,109.0,33.33,25,"""9.5""","""8""","""5""",27.0,19.0,9.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1392154,18_19,277,193.0,30.68,25,"""8""","""9.5""","""5""",47.0,41.0,15.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1392154,19_20,130,110.0,16.15,25,"""9.5""","""8""","""9.50""",32.0,18.0,11.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1060394,15_16,137,30.0,78.83,3,"""9""","""27""","""12""",8.0,3.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1060394,17_18,198,21.0,89.89,3,"""27""","""1/3""","""9""",6.0,6.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1060394,18_19,855,103.0,88.07,3,"""27""","""1/3""","""9""",33.0,21.0,11.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1060394,19_20,459,39.0,91.72,3,"""27""","""1/3""","""9""",15.0,5.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1392068,18_19,686,92.0,86.73,3C,"""c""","""1/3c""","""1c""",31.0,14.0,10.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1392068,19_20,387,40.0,89.92,3C,"""c""","""1c""","""c/3""",11.0,5.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1060396,15_16,131,105.0,20.61,"2/5 , 2.5","""2.5""","""3""","""10""",63.0,7.0,6.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1060396,16_17,53,23.0,58.49,"2/5 , 2.5","""2.5""","""10""",""".5""",12.0,3.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1060396,17_18,181,105.0,42.54,"2/5 , 2.5","""2.5""","""2""","""2 1/2""",79.0,5.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1060396,18_19,710,403.0,43.38,"2/5 , 2.5","""2.5""","""5""","""5/2""",314.0,11.0,6.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1060396,19_20,341,214.0,37.53,"2/5 , 2.5","""2.5""","""5""","""10""",173.0,6.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1392071,18_19,625,114.0,81.76,(2/5)M,"""2.5m""","""4m""","""25m""",16.0,7.0,6.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1392071,19_20,276,59.0,78.98,(2/5)M,"""25m""","""m.4""","""M.4""",7.0,7.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1060398,18_19,676,92.0,86.53,2,"""1""","""0.5""",""".5""",18.0,14.0,14.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1060398,19_20,210,29.0,86.66,2,""".5""","""1""","""0.5""",9.0,5.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1392084,18_19,663,89.0,86.72,2P,"""1p""","""1P""","""p""",32.0,11.0,10.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1392084,19_20,208,23.0,89.42,2P,"""1p""","""p1""","""(1/2)P""",7.0,4.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1060400,15_16,117,101.0,14.52,"1/5 , 5","""5""","""15""","""3""",65.0,12.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1060400,16_17,65,49.0,26.15,"1/5 , 5","""5""","""3""","""5/1""",30.0,6.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1060400,17_18,181,126.0,30.93,"1/5 , 5","""5""","""5/1""","""1""",99.0,10.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1060400,18_19,578,395.0,31.83,"1/5 , 5","""5""","""5/1""","""15""",308.0,19.0,18.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1060400,19_20,302,210.0,30.79,"1/5 , 5","""5""","""5/1""","""3""",172.0,9.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1392098,18_19,547,124.0,77.51,D/5,"""5d""","""3d""","""d5""",32.0,10.0,8.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---7.1 Lesson 8 (7.RP.2.b),1392098,19_20,283,45.0,84.45,D/5,"""5d""","""d.2""","""d5""",7.0,5.0,4.0
